character_name,playable,rarity,vision,region,model,constellation,birthday,special_dish,voice_eng,voice_cn,voice_jp,voice_kr,release_date,weapon_type,ascension,ascension_specialty,ascension_talent_mat,ascension_boss_mat,talent_book_1,talent_book_2,talent_book_3,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,spsecial_0,special_1,special_2,special_3,special_4,special_5,special_6,id
Ganyu,Y,5,Cryo,Liyue,Medium Female,Sinae Unicornis,2月12日,Prosperous Peace,Jennifer Losi,Su Lin (林簌),Reina Ueda (上田麗奈),Kim Sun-hye (김선혜),1/12/2021,Bow,CRIT DMG,Qingxin,Whopperflower Nectar,Hoarfrost Core,Teachings of Diligence,Guide to Diligence,Philosophies of Diligence,Shadow of the Warrior,9797,335,630,9108,311,586,8643,295,556,7960,272,512,7495,256,482,6820,233,439,6355,217,409,5686,194,366,5066,173,326,4403,151,283,3939,135,253,2632,90,169,1978,68,127,763,26,49,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,13 
Gorou,Y,4,Geo,Inazuma,Medium Male,Canis Bellatoris,May-18,Victorious Legend,Cory Yee,Yang Xinran (杨昕燃),Tasuku Hatanaka (畠中 祐),Lee Sae-byeok (이새벽),12/14/2021,Bow,Geo DMG Bonus,Sango Pearl,Spectral Husk,Perpetual Heart,Teachings of Light,,,Molten Moment,9570,183,648,8907,170,603,8481,162,575,7818,149,530,7393,141,501,6731,128,456,6305,120,427,5642,108,382,5074,97,344,4411,84,299,3985,76,270,2661,51,180,2061,39,140,802,15,54,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,14 
Hu Tao,Y,5,Pyro,Liyue,Medium Female,Papilio Charontis,Jul-15,Ghostly March,Brianna Knickerbocker,Dian Tao (陶典),Rie Takahashi (高橋李依),Kim Ha-ru (김하루),3/2/2021,Polearm,CRIT DMG,Silk Flower,Whopperflower Nectar,Juvenile Jade,Teachings of Diligence,Guide to Diligence,Philosophies of Diligence,Shard of a Foul Legacy,15552,106,876,14459,99,815,13721,94,773,12637,86,712,11899,81,670,10826,74,610,10089,69,568,9026,62,508,8042,55,453,6990,48,394,6253,43,352,4179,29,235,3141,21,177,1211,8,68,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,15 
Jean,Y,5,Anemo,Mondstadt,Tall Female,Leo Minor,Mar-14,Invigorating Pizza,Stephanie Southerland,Su Lin (林簌),Chiwa Saitō (斎藤千和),Ahn Young-mi (안영미),9/28/2020,Sword,Healing Bonus,Dandelion Seed,Damaged Mask,Hurricane Seed,Teachings of Resistance,Guide to Resistance,Philosophies of Resistance,Dvalin's Plume,14695,239,769,13662,222,715,12965,211,678,11940,194,624,11243,183,588,10230,166,535,9533,155,499,8528,139,446,7599,124,397,6605,108,345,5908,96,309,3948,64,206,2967,48,155,1144,19,60,0.00%,0.00%,5.50%,11.10%,11.10%,16.60%,22.20%,16 
Kaedehara Kazuha,Y,5,Anemo,Inazuma,Medium Male,Acer Palmatum,Oct-29,All-Weather Beauty,Mark Whitten,Banma (斑马),Nobunaga Shimazaki (島崎 信長),Kim Shin-woo (김신우),6/29/2021,Sword,Elemental Mastery,Sea Ganoderma,Treasure Hoarder Insignia,Marionette Core,Teachings of Diligence,Guide to Diligence,Philosophies of Diligence,Gilded Scale,13348,297,807,12410,276,750,11777,262,712,10846,241,656,10213,227,617,9292,206,562,8659,192,523,7747,172,468,6902,153,417,5999,133,363,5366,119,324,3586,80,217,2695,60,163,1039,23,63,0,0,28.8,57.6,57.6,86.4,115.2,17 
Kaeya,Y,4,Cryo,Mondstadt,Tall Male,Pavo Ocellus,Nov-30,Fruity Skewers,Josey Montana McCoy,Ye Sun (孙晔),Kohsuke Toriumi (鳥海浩輔),Jeong Joo-won (정주원),9/28/2020,Sword,Energy Recharge,Calla Lily,Treasure Hoarder Insignia,Hoarfrost Core,Teachings of Ballad,Guide to Ballad,Philosophies of Ballad,Spirit Locket of Boreas,11636,223,792,10830,208,737,10312,198,702,9508,182,647,8990,172,612,8184,157,557,7666,147,522,6860,131,467,6170,118,420,5364,103,365,4846,93,330,3235,62,220,2506,48,171,976,19,66,0.00%,0.00%,6.70%,13.30%,13.30%,20.00%,26.70%,18 
Kamisato Ayaka,Y,5,Cryo,Inazuma,Medium Female,Grus Nivis,Sep-28,"""Snow on the Hearth""",Erica Mendez,Xiao N (小N),Saori Hayami (早見沙織),Lee Yu-ri (이유리),7/21/2021,Sword,CRIT DMG,Sakura Bloom,Old Handguard,Perpetual Heart,Teachings of Elegance,Guide to Elegance,Philosophies of Elegance,Bloodjade Branch,12858,342,784,11954,318,729,11345,302,692,10448,278,637,9838,262,600,8951,238,546,8341,222,509,7462,198,455,6649,177,405,5779,154,352,5170,138,315,3455,92,211,2597,79,158,1001,27,61,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,19 
Kamisato Ayato,Y,5,Hydro,Inazuma,Tall Male,Cypressus Custos,Mar-26,Quiet Elegance,Chris Hackney,Zhaolu (赵路),Akira Ishida (石田 彰),Jang Min-hyeok (장민혁),4/30/2022,Sword,CRIT DMG,Sakura Bloom,Old Handguard,Dew of Repudation,Teachings of Elegance,Guide to Elegance,Philosophies of Elegance,Mudra of the Malefic General,13715,299,769,12751,278,715,12101,264,678,11144,243,624,10494,229,588,9548,208,535,8897,194,499,7960,174,446,1092,155,397,6165,135,345,5514,120,309,3685,81,206,2770,61,155,1068,24,60,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,20 
Keqing,Y,5,Electro,Liyue,Medium Female,Trulla Cementarii,Nov-20,Survival Grilled Fish,Kayli Mills,Ying Xie (谢莹),Eri Kitamura (喜多村英梨),Lee Bo-hee (이보희),9/28/2020,Sword,CRIT DMG,Cor Lapis,Whopperflower Nectar,Lightning Prism,Teachings of Prosperity,Guide to Prosperity,Philosophies of Prosperity,Ring of Boreas,13103,323,799,12182,300,743,11561,285,705,10647,262,649,10025,247,612,9121,225,556,8500,209,519,7604,187,464,6776,167,413,5889,145,359,5268,130,321,3521,87,215,2646,65,161,1020,25,62,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,21 
Klee,Y,5,Pyro,Mondstadt,Short Female,Trifolium,Jul-27,Fish-Flavored Toast,Poonam Basu,Hualing (花玲),Misaki Kuno (久野美咲),Bang Yeon-ji (방연지),10/20/2020,Catalyst,Pyro DMG Bonus,Philanemo Mushroom,Divining Scroll,Everflame Seed,Teachings of Freedom,Guide to Freedom,Philosophies of Freedom,Ring of Boreas,10287,311,615,9563,289,572,9076,274,542,8358,253,500,7870,238,470,7161,216,428,6673,202,399,5970,180,357,5319,161,318,4623,140,276,4136,125,247,2764,84,165,2077,63,124,801,24,48,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,22 
Kujou Sara,Y,4,Electro,Inazuma,Tall Female,Flabellum,Jul-14,Faith Eternal,Jeannie Tirado,Yang Menglu (杨梦露),Asami Seto (瀬戸麻沙美),Mun Ji-yeong (문지영),9/1/2021,Bow,ATK,Dendrobium,Damaged Mask,Storm Beads,Teachings of Elegance,Guide to Elegance,Philosophies of Elegance,Ashen Heart,9570,195,628,8907,182,584,8481,173,556,7818,160,513,7393,151,485,6731,137,442,6305,129,414,5642,115,370,5074,104,333,4411,90,289,3985,81,262,2661,54,175,2061,42,135,802,16,53,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,23 
Kuki Shinobu,N,4,Electro,Inazuma,Medium Female,Tribulatio Demptio,NA,NA,NA,NA,NA,NA,NA,Sword,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24 
Lisa,Y,4,Electro,Mondstadt,Tall Female,Tempus Fugit,9月6日,Mysterious Bolognese,Mara Junot,Ke Zhong (钟可),Rie Tanaka (田中理恵),Park Go-woon (박고운),9/28/2020,Catalyst,Elemental Mastery,Valberry,Slime Condensate,Lightning Prism,Teachings of Ballad,Guide to Ballad,Philosophies of Ballad,Dvalin's Claw,9570,232,573,8907,215,534,8481,205,508,7818,189,468,7393,179,443,6731,163,403,6305,153,378,5642,136,338,5074,123,304,4411,107,264,3985,96,239,2661,64,159,2061,50,123,802,19,48,0,0,24,48,48,72,96,25 
Mona,Y,5,Hydro,Mondstadt,Medium Female,Astrolabos,Aug-31,Der Weisheit Letzter Schluss (Life),Felecia Angelle,Tingting Chen (陈婷婷),Konomi Kohara (小原好美),Woo Jeong-sin (우정신),9/28/2020,Catalyst,Energy Recharge,Philanemo Mushroom,Whopperflower Nectar,Cleansing Heart,Teachings of Resistance,Guide to Resistance,Philosophies of Resistance,Ring of Boreas,10409,287,653,9677,267,607,9184,253,576,8458,233,531,7964,220,500,7246,200,455,6752,186,424,6041,167,379,5383,148,338,4678,129,294,4185,115,263,2797,77,176,2102,58,132,810,22,51,0.00%,0.00%,8.00%,16.00%,16.00%,24.00%,32.00%,26 
Ningguang,Y,4,Geo,Liyue,Tall Female,Opus Aequilibrium,Aug-26,Qiankun Mora Meat,Erin Ebers,Mingya Du (杜冥鸦),Sayaka Ohara (大原さやか),Gwak Gyu-mi (곽규미),9/28/2020,Catalyst,Geo DMG Bonus,Glaze Lily,Recruit's Insignia,Basalt Pillar,Teachings of Prosperity,Guide to Prosperity,Philosophies of Prosperity,Spirit Locket of Boreas,9787,212,573,9110,198,534,8674,188,508,7996,174,468,7561,164,443,6884,149,403,6448,140,378,5770,125,338,5189,113,304,4512,98,264,4076,88,239,2721,59,159,2108,46,123,821,18,48,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,27 
Noelle,Y,4,Geo,Mondstadt,Medium Female,Parma Cordis,Mar-21,Lighter-Than-Air Pancake,Laura Faye Smith,Yanning (宴宁),Kanon Takao (高尾奏音),Lee Bo-hee (이보희),9/28/2020,Claymore,DEF,Valberry,Damaged Mask,Basalt Pillar,Teachings of Resistance,Guide to Resistance,Philosophies of Resistance,Dvalin's Claw,12071,191,799,11235,178,743,10698,169,708,9862,156,652,9325,148,617,8490,134,562,7953,126,526,7117,113,471,6400,101,423,5564,88,368,5027,80,333,3356,53,222,2600,41,172,1012,16,67,0.00%,0.00%,7.50%,15.00%,15.00%,22.50%,30.00%,28 
Qiqi,Y,5,Cryo,Liyue,Short Female,Pristina Nova,3月3日,No Tomorrow,Christie Cate,Yanning (宴宁),Yukari Tamura (田村ゆかり),Lee Seul (이슬),9/28/2020,Sword,Healing Bonus,Violetgrass,Divining Scroll,Hoarfrost Core,Teachings of Prosperity,Guide to Prosperity,Philosophies of Prosperity,Tail of Boreas,12368,287,922,11499,267,857,10912,253,814,10050,233,749,9463,220,706,8610,200,642,8023,186,598,7178,167,535,6396,148,477,5559,129,415,4973,115,371,3323,77,248,2498,58,186,963,22,72,0.00%,0.00%,5.50%,11.10%,11.10%,16.60%,22.20%,29 
Raiden Shogun,Y,5,Electro,Inazuma,Tall Female,Imperatrix Umbrosa,Jun-26,None,Anne Yatco,Juhuahua (菊花花),Miyuki Sawashiro (沢城みゆき),Park Ji-yoon (박지윤),9/1/2021,Polearm,Energy Recharge,Amakumo Fruit,Old Handguard,Storm Beads,Teachings of Light,Guide to Light,Philosophies of Light,Molten Moment,12907,337,789,12000,314,737,11388,298,696,10487,274,641,9875,258,604,8985,235,549,8373,219,512,7491,196,458,6675,175,408,5801,152,355,5189,136,317,3468,91,212,2606,68,159,1005,26,61,0.00%,0.00%,8.00%,16.00%,16.00%,24.00%,32.00%,30 
Razor,Y,4,Electro,Mondstadt,Medium Male,Lupus Minor,9月9日,Puppy-Paw Hash Brown,Todd Haberkorn,Shuai Zhou (周帅),Kōki Uchiyama (内山昂輝),Kim Seo-yeong (김서영),9/28/2020,Claymore,Physical DMG Bonus,Wolfhook,Damaged Mask,Lightning Prism,Teachings of Resistance,Guide to Resistance,Philosophies of Resistance,Dvalin's Claw,11962,234,751,11134,217,699,10602,207,665,9773,191,613,9241,180,580,8413,164,528,7881,154,495,7052,138,443,6343,124,398,5514,108,346,4982,97,313,3326,65,209,2577,50,162,1003,20,63,0.00%,0.00%,7.50%,15.00%,15.00%,22.50%,30.00%,31 
Rosaria,Y,4,Cryo,Mondstadt,Tall Female,Spinea Corona,Jan-24,Dinner of Judgement,Elizabeth Maxwell,Anqi Zhang (张安琪),Ai Kakuma (加隈亜衣),Kim Bo-na (김보나),4/6/2021,Polearm,ATK,Valberry,Recruit's Insignia,Hoarfrost Core,Teachings of Ballad,Guide to Ballad,Philosophies of Ballad,Shadow of the Warrior,12289,240,710,11438,223,661,10891,213,629,10040,196,580,9493,185,548,8643,169,499,8096,158,468,7245,141,418,6516,127,376,5665,111,327,5118,100,296,3417,67,197,2647,52,153,1030,20,60,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,32 
Sangonomiya Kokomi,Y,5,Hydro,Inazuma,Medium Female,Dracanea Somnolenta,Feb-22,A Stunning Stratagem,Risa Mei,Guiniang (龟娘),Suzuko Mimori (三森すずこ),Yeo Yun-mi (여윤미),9/21/2021,Catalyst,Hydro DMG Bonus,Sango Pearl,Spectral Husk,Dew of Repudation,Teachings of Transience,Guide to Transience,Philosophies of Transience,Hellfire Butterfly,13471,234,657,12524,218,611,11885,207,580,10945,190,534,10306,179,503,9377,163,457,8738,152,426,7818,136,381,6966,121,340,6055,105,295,5416,94,264,3619,63,177,2720,47,133,1049,18,51,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,33 
Sayu,Y,4,Anemo,Inazuma,Short Female,Nyctereutes Minor,Oct-19,Dizziness-Be-Gone no Justu Version 2.0,Lilypichu (Lily Ki),Sakula小舞,Aya Suzaki (洲崎綾),Lee Ji-hyeon (이지현),8/10/2021,Claymore,Elemental Mastery,Crystal Marrow,Whopperflower Nectar,Marionette Core,Teachings of Light,Guide to Light,Philosophies of Light,Gilded Scale,11854,244,745,11033,227,693,10505,216,660,9684,200,608,9157,189,575,8337,172,524,7809,161,491,6988,144,439,6285,130,395,5464,113,343,4937,102,310,3296,68,207,2553,53,160,994,20,62,0,0,24,48,48,72,96,34 
Shenhe,Y,5,Cryo,Liyue,Tall Female,Crista Doloris,10月3日,Heartstring Noodles,Chelsea Kwoka,Ziyi Qin(秦紫翼),Ayako Kawasumi (川澄綾子),Lee Hyun-jin (이현진),1/5/2022,Polearm,ATK,Qingxin,Whopperflower Nectar,Dragonheir's False Fin,Teachings of Prosperity,Guide to Prosperity,Philosophies of Prosperity,Hellfire Butterfly,12993,304,830,21080,282,772,11463,268,732,10557,274,674,9941,232,635,9045,211,578,8429,197,538,7540,176,482,6719,157,429,5840,137,373,5224,122,334,3491,82,223,2624,61,168,1011,24,65,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,35 
Shikanoin Heizou,N,4,Anemo,Inazuma,Medium Male,Cervus Minor,NA,NA,NA,NA,NA,NA,NA,Catalyst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36 
Sucrose,Y,4,Anemo,Mondstadt,Medium Female,Ampulla,Sep-26,Nutritious Meal (V.593),Valeria Rodriguez,Xiaogan (小敢),Akane Fujita (藤田茜),Kim Ha-yeong (김하영),9/28/2020,Catalyst,Anemo DMG Bonus,Windwheel Aster,Whopperflower Nectar,Hurricane Seed,Teachings of Freedom,Guide to Freedom,Philosophies of Freedom,Spirit Locket of Boreas,9243,170,703,8603,158,654,8192,151,623,7552,139,574,7141,131,543,6501,120,494,6090,112,463,5450,100,414,4901,90,373,4261,78,324,3850,71,293,2570,47,195,1991,37,151,775,14,59,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,37 
Tartaglia,Y,5,Hydro,Snezhnaya,Tall Male,Monoceros Caeli,Jul-20,A Prize Catch,Griffin Burns,Yudong (鱼冻),Ryohei Kimura (木村良平),Nam Doh-hyeong (남도형),11/11/2020,Bow,Hydro DMG Bonus,Starconch,Recruit's Insignia,Cleansing Heart,Teachings of Freedom,Guide to Freedom,Philosophies of Freedom,Shard of a Foul Legacy,13103,301,815,12182,280,757,11561,266,719,10647,245,662,10025,231,623,9121,210,567,8500,195,528,7604,175,473,6776,156,421,5889,135,366,5268,121,328,3521,81,219,2646,61,165,1020,23,63,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,38 
Thoma,Y,4,Pyro,Inazuma,Tall Male,Rubeum Scutum,9月1日,"""Warmth""",Christian Banas,Pei Zhang (张沛),Masakazu Morita (森田成一),Ryu Seung-gon (류승곤),10/2/2021,Polearm,ATK,Fluorescent Fungus,Treasure Hoarder Insignia,Smoldering Pearl,Teachings of Transience,Guide to Transience,Philosophies of Transience,Hellfire Butterfly,10331,202,751,9616,188,699,9156,179,665,8440,165,613,7981,156,580,7266,142,528,6806,133,495,6091,119,443,5478,107,398,4762,93,346,4302,84,313,2872,56,209,2225,43,162,866,17,63,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,39 
